Query,AutocompletePacketSize,NumSearchResults
u,282,0
un,311,0
und,344,0
unde,350,0
under,351,0
unders,351,0
underst,355,0
understa,362,0
understan,373,0
understand,369,0
understandi,419,0
understandin,420,0
understanding,421,0
understandings,371,94800000
c,271,0
co,292,0
con,323,0
conv,315,0
conve,320,0
conver,362,0
convers,340,0
conversa,366,0
conversat,367,0
conversati,383,0
conversatio,389,0
conversation,390,0
conversations,430,3220000000
d,291,0
di,311,0
dis,329,0
disa,327,0
disap,371,0
disapp,338,0
disappe,345,0
disappea,346,0
disappear,347,0
disappeari,358,0
disappearin,359,0
disappearing,360,896000000
i,288,0
in,321,0
inf,313,0
info,341,0
infor,345,0
inform,366,0
informa,372,0
informat,394,0
informati,425,0
informatio,441,0
information,466,0
informations,376,19610000000
g,303,0
gr,290,0
gra,337,0
gran,315,0
grand,322,0
grandm,357,0
grandmo,355,0
grandmot,356,0
grandmoth,357,0
grandmothe,358,0
grandmother,359,0
grandmothers,366,333000000
g,303,0
gr,290,0
gra,337,0
gran,315,0
grand,322,0
grandf,397,0
grandfa,398,0
grandfat,399,0
grandfath,400,0
grandfathe,401,0
grandfather,402,0
grandfathers,381,17500000
q,270,0
qu,291,0
que,332,0
ques,332,0
quest,335,0
questi,382,0
questio,386,0
question,387,0
questioni,352,0
questionin,353,0
questioning,354,0
questionings,440,478000
a,320,0
ap,306,0
app,304,0
appr,306,0
appro,318,0
approa,347,0
approac,340,0
approach,349,0
approachi,344,0
approachin,349,0
approaching,350,390000000
u,282,0
un,311,0
und,344,0
unde,354,0
under,355,0
unders,351,0
underst,355,0
understa,362,0
understan,373,0
understand,369,0
understands,389,4570000000
i,288,0
im,291,0
imm,323,0
imme,303,0
immed,362,0
immedi,353,0
immedia,364,0
immediat,373,0
immediate,374,0
immediatel,374,0
immediately,375,3320000000
p,293,0
po,290,0
pos,300,0
posi,344,0
posit,375,0
positi,357,0
positio,371,0
position,372,0
positioni,382,0
positionin,383,0
positioning,384,355000000
t,281,0
tr,318,0
tra,319,0
trav,309,0
trave,331,0
travel,338,0
travell,364,0
travelli,390,0
travellin,404,0
travelling,405,0
travellings,341,242000
q,270,0
qu,291,0
que,328,0
ques,332,0
quest,335,0
questi,382,0
questio,386,0
question,387,0
questione,355,0
questioner,366,0
questioners,450,1110000
r,285,0
re,291,0
rec,302,0
reco,317,0
recog,349,0
recogn,350,0
recogni,351,0
recogniz,331,0
recognizi,387,0
recognizin,388,0
recognizing,389,2650000000
r,247,0
re,291,0
rec,302,0
reco,317,0
recog,349,0
recogn,350,0
recogni,351,0
recogniz,331,0
recognize,330,0
recognizer,339,0
recognizers,358,517000
t,281,0
te,311,0
tel,289,0
tele,313,0
telev,357,0
televi,370,0
televis,398,0
televisi,378,0
televisio,387,0
television,388,0
televisions,365,2170000000
r,285,0
re,291,0
rem,324,0
reme,304,0
remem,358,0
rememb,359,0
remembe,364,0
remember,365,0
rememberi,360,0
rememberin,361,0
remembering,362,1080000000
r,285,0
re,291,0
rem,324,0
reme,304,0
remem,358,0
rememb,359,0
remembe,364,0
remember,365,0
remembere,321,0
rememberer,384,0
rememberers,320,58500
e,272,0
ex,314,0
exp,313,0
expr,359,0
expre,360,0
expres,361,0
express,362,0
expressi,367,0
expressio,417,0
expression,388,0
expressions,395,3770000000
d,294,0
di,311,0
dis,329,0
disc,364,0
disco,335,0
discov,356,0
discove,357,0
discover,358,0
discoveri,359,0
discoverin,400,0
discovering,401,430000000
d,294,0
di,311,0
dis,329,0
disa,327,0
disap,337,0
disapp,334,0
disappe,355,0
disappea,356,0
disappear,357,0
disappeare,350,0
disappeared,354,1340000000
i,220,0
in,321,0
int,365,0
inte,382,0
inter,384,0
intere,351,0
interes,352,0
interest,353,0
interesti,390,0
interestin,391,0
interesting,392,3040000000
s,249,0
st,284,0
str,327,0
stra,347,0
strai,376,0
straig,350,0
straigh,351,0
straight,352,0
straighte,331,0
straightes,391,0
straightest,392,2610000
c,265,0
co,281,0
con,251,0
cont,300,0
contr,310,0
contro,323,0
control,351,0
controll,386,0
controlle,411,0
controller,384,0
controllers,378,970000000
c,265,0
co,292,0
con,319,0
cont,300,0
contr,310,0
contro,323,0
control,351,0
controll,386,0
controlli,365,0
controllin,380,0
controlling,381,1100000000
c,265,0
co,292,0
con,319,0
cons,339,0
consi,248,0
consid,324,0
conside,325,0
consider,326,0
consideri,381,0
considerin,382,0
considering,383,4380000000
r,285,0
re,291,0
rem,244,0
reme,304,0
remem,358,0
rememb,359,0
remembe,394,0
remember,395,0
remembere,321,0
remembered,366,1050000000
c,265,0
ci,321,0
cig,313,0
ciga,315,0
cigar,316,0
cigare,342,0
cigaret,347,0
cigarett,348,0
cigarette,349,0
cigarettes,361,242000000
c,265,0
co,292,0
com,305,0
comp,330,0
compa,310,0
compan,348,0
company,346,0
companyi,276,0
companyin,317,0
companying,361,928000
c,265,0
co,292,0
com,305,0
comp,262,0
compl,346,0
comple,357,0
complet,347,0
complete,344,0
completel,384,0
completely,385,3410000000
s,249,0
sp,305,0
spr,262,0
spre,295,0
sprea,331,0
spread,332,0
spreadi,333,0
spreadin,334,0
spreading,335,0
spreadings,349,582000000
c,265,0
co,292,0
con,251,0
cons,339,0
consi,248,0
consid,324,0
conside,325,0
consider,326,0
considere,311,0
considered,349,5910000000
c,265,0
co,292,0
con,319,0
cont,300,0
conti,304,0
contin,311,0
continu,328,0
continui,393,0
continuin,425,0
continuing,426,1660000000
c,265,0
co,292,0
con,319,0
cont,300,0
contr,310,0
contro,323,0
control,351,0
controll,393,0
controlle,411,0
controlled,445,1800000000
s,310,0
st,284,0
sta,320,0
stat,355,0
stati,300,0
statio,317,0
station,318,0
stationi,308,0
stationin,327,0
stationing,347,2060000
s,310,0
st,284,0
str,327,0
stra,347,0
strai,349,0
straig,350,0
straigh,378,0
straight,352,0
straighte,331,0
straighter,356,39100000
s,310,0
st,284,0
str,327,0
stre,314,0
stret,343,0
stretc,344,0
stretch,345,0
stretchi,370,0
stretchin,371,0
stretching,372,1510000000
b,297,0
bu,289,0
bus,306,0
busi,389,0
busin,390,0
busine,391,0
busines,392,0
business,393,0
businesse,414,0
businesses,415,9900000000
s,310,0
so,310,0
som,332,0
some,424,0
someb,376,0
somebo,397,0
somebod,398,0
somebodi,380,0
somebodie,479,0
somebodies,480,3000000
s,310,0
so,310,0
sol,294,0
sold,301,0
soldi,339,0
soldie,340,0
soldier,371,0
soldieri,324,0
soldierin,336,0
soldiering,337,4720000
c,265,0
co,292,0
cou,301,0
coun,345,0
count,335,0
counte,331,0
counter,342,0
counteri,405,0
counterin,406,0
countering,418,396000000
d,294,0
da,312,0
dar,280,0
dark,294,0
darkn,375,0
darkne,342,0
darknes,358,0
darkness,359,0
darknesse,363,0
darknesses,352,238000
s,310,0
si,292,0
sit,286,0
situ,372,0
situa,367,0
situat,368,0
situati,384,0
situatio,385,0
situation,386,0
situations,386,4020000000
d,294,0
di,311,0
dir,323,0
dire,344,0
direc,321,0
direct,346,0
directi,371,0
directio,372,0
direction,373,0
directions,364,2930000000
d,294,0
di,311,0
dis,329,0
disa,327,0
disap,337,0
disapp,334,0
disappe,355,0
disappea,356,0
disappear,357,0
disappears,334,998000000
y,198,0
yo,301,0
you,302,0
youn,319,0
young,320,0
youngl,310,0
youngli,318,0
younglin,314,0
youngling,315,0
younglings,309,3850000
s,310,0
su,291,0
sug,232,0
sugg,306,0
sugge,312,0
sugges,313,0
suggest,314,0
suggesti,315,0
suggestin,331,0
suggesting,332,3960000000
a,313,0
af,280,0
aft,301,0
afte,299,0
after,300,0
aftern,356,0
afterno,357,0
afternoo,358,0
afternoon,359,0
afternoons,406,970000000
b,297,0
br,312,0
bre,324,0
brea,355,0
breat,344,0
breath,345,0
breathi,373,0
breathin,374,0
breathing,375,0
breathings,366,484000
d,294,0
di,311,0
dis,329,0
dist,347,0
dista,371,0
distan,369,0
distanc,382,0
distanci,348,0
distancin,365,0
distancing,366,227000000
s,310,0
sh,288,0
she,289,0
shee,266,0
sheet,311,0
sheeti,304,0
sheetin,314,0
sheeting,315,0
sheetings,320,880000
s,310,0
sh,288,0
sha,292,0
shad,333,0
shado,327,0
shadow,328,0
shadowi,360,0
shadowin,361,0
shadowing,362,61400000
s,310,0
se,299,0
set,299,0
sett,276,0
settl,298,0
settli,325,0
settlin,326,0
settling,327,0
settlings,318,402000
s,310,0
se,299,0
ser,294,0
serv,302,0
servi,339,0
servic,340,0
servici,346,0
servicin,347,0
servicing,348,385000000
s,310,0
se,299,0
ser,294,0
seri,304,0
serio,297,0
seriou,298,0
serious,299,0
seriousl,343,0
seriously,344,709000000
s,310,0
se,299,0
sec,305,0
seco,362,0
secon,363,0
second,364,0
secondi,276,0
secondin,299,0
seconding,317,3450000
s,310,0
se,299,0
sea,324,0
sear,312,0
searc,325,0
search,326,0
searchi,361,0
searchin,362,0
searching,363,11070000000
s,310,0
sc,290,0
scr,272,0
scre,310,0
screa,286,0
scream,314,0
screami,339,0
screamin,340,0
screaming,342,551000000
t,281,0
te,311,0
tea,311,0
teac,338,0
teach,355,0
teachi,377,0
teachin,378,0
teaching,379,0
teachings,355,1580000000
b,294,0
bo,292,0
bot,293,0
both,288,0
bothe,293,0
bother,301,0
botheri,305,0
botherin,306,0
bothering,307,344000000
e,272,0
ev,326,0
eve,326,0
ever,324,0
every,416,0
everyb,398,0
everybo,399,0
everybod,402,0
everybody,403,645000000
b,294,0
bo,292,0
bot,293,0
both,288,0
bothe,297,0
bother,301,0
bothere,332,0
botherer,346,0
botherers,304,42400
b,294,0
bo,292,0
bot,293,0
bott,331,0
botto,350,0
bottom,351,0
bottomi,358,0
bottomin,359,0
bottoming,360,15700000
e,272,0
ex,314,0
exc,290,0
exce,318,0
excep,314,0
except,315,0
excepti,336,0
exceptin,316,0
excepting,339,70700000
e,272,0
ex,314,0
exp,313,0
expe,319,0
expec,320,0
expect,321,0
expecti,333,0
expectin,348,0
expecting,349,263000000
e,272,0
ex,314,0
exp,313,0
expl,285,0
expla,330,0
explai,328,0
explain,329,0
explaine,322,0
explained,340,4040000000
s,310,0
su,290,0
sur,299,0
surp,304,0
surpr,326,0
surpri,357,0
surpris,358,0
surprise,353,0
surprised,350,1380000000
s,310,0
su,290,0
sur,299,0
surp,304,0
surpr,326,0
surpri,357,0
surpris,328,0
surprise,353,0
surprises,361,736000000
w,284,0
wa,304,0
wat,274,0
wate,266,0
water,267,0
wateri,311,0
waterin,313,0
watering,314,0
waterings,346,941000
r,278,0
re,291,0
ret,305,0
retu,325,0
retur,326,0
return,327,0
returni,395,0
returnin,396,0
returning,397,4290000000
s,310,0
su,290,0
sur,299,0
surf,318,0
surfa,336,0
surfac,337,0
surfaci,324,0
surfacin,341,0
surfacing,342,44000000
f,300,0
fa,294,0
fam,307,0
fami,308,0
famil,309,0
famili,319,0
familia,339,0
familiar,355,0
familiars,310,1170000000
f,300,0
fa,294,0
fat,331,0
fath,328,0
fathe,338,0
father,339,0
fatheri,352,0
fatherin,353,0
fathering,354,4880000
r,278,0
re,291,0
rem,320,0
remi,276,0
remin,338,0
remind,332,0
remindi,307,0
remindin,308,0
reminding,309,584000000
s,310,0
su,290,0
sup,292,0
supp,327,0
suppo,297,0
suppos,331,0
supposi,388,0
supposin,327,0
supposing,342,52000000
b,294,0
br,316,0
bre,324,0
brea,321,0
breas,370,0
breast,371,0
breasti,319,0
breastin,323,0
breasting,330,1220000
a,299,0
at,276,0
att,316,0
atta,360,0
