,from,to,percentage
0,root,u,0.00778526
1,root,c,0.15460617
2,root,d,0.01766637
3,root,i,0.0321079
4,root,g,0.00900569
5,root,q,0.01055067
6,root,a,0.07243684
7,root,p,0.09158138
8,root,t,0.03920916
9,root,r,0.08192918
10,root,e,0.03966199
11,root,s,0.16265517
12,root,b,0.06466363
13,root,y,0.00855319
14,root,w,0.03507284
15,root,f,0.07680379
16,root,o,0.00605974
17,root,n,0.00460382
18,root,m,0.03807132
19,root,h,0.01934758
20,root,l,0.01314559
21,root,k,0.00209276
22,root,v,0.01238244
23,root,j,7.51e-06
24,u,un,0.45801587
25,u,us,0.54198413
26,un,und,1.0
27,und,unde,1.0
28,unde,under,1.0
29,under,unders,1.0
30,unders,underst,1.0
31,underst,understa,1.0
32,understa,understan,1.0
33,understan,understand,1.0
34,understand,understandi,0.02032241
35,understand,understands,0.97967759
36,understandi,understandin,1.0
37,understandin,understanding,1.0
38,understanding,understandings,1.0
39,understandings,understandings,1.0
40,understands,understands,1.0
41,us,usu,1.0
42,usu,usua,1.0
43,usua,usual,1.0
44,usual,usuall,1.0
45,usuall,usually,1.0
46,usually,usually,1.0
47,c,co,0.36531778
48,c,ci,0.0534401
49,c,ca,0.1019911
50,c,ce,0.04936066
51,c,cl,0.11192257
52,c,cr,0.03154779
53,c,cu,0.00677352
54,c,ch,0.27964648
55,co,con,0.35813409
56,co,com,0.04632015
57,co,cou,0.3068203
58,co,coa,0.00443912
59,co,col,0.22287731
60,co,coo,0.01010066
61,co,cor,0.02653051
62,co,cof,0.0246317
63,co,cop,0.00014617
64,con,conv,0.12168392
65,con,cont,0.43307384
66,con,cons,0.3888595
67,con,conf,0.05638274
68,conv,conve,1.0
69,conve,conver,1.0
70,conver,convers,1.0
71,convers,conversa,1.0
72,conversa,conversat,1.0
73,conversat,conversati,1.0
74,conversati,conversatio,1.0
75,conversatio,conversation,1.0
76,conversation,conversations,1.0
77,conversations,conversations,1.0
78,cont,contr,0.85514834
79,cont,conti,0.14485166
80,contr,contro,1.0
81,contro,control,1.0
82,control,controll,0.39489796
83,control,controls,0.60510204
84,controll,controlle,0.71576227
85,controll,controlli,0.28423773
86,controlle,controller,0.35018051
87,controlle,controlled,0.64981949
88,controller,controllers,1.0
89,controllers,controllers,1.0
90,controlled,controlled,1.0
91,controlli,controllin,1.0
92,controllin,controlling,1.0
93,controlling,controlling,1.0
94,controls,controls,1.0
95,conti,contin,1.0
96,contin,continu,1.0
97,continu,continui,1.0
98,continui,continuin,1.0
99,continuin,continuing,1.0
100,continuing,continuing,1.0
101,cons,consi,1.0
102,consi,consid,1.0
103,consid,conside,1.0
104,conside,consider,1.0
105,consider,consideri,0.42565598
106,consider,considere,0.57434402
107,consideri,considerin,1.0
108,considerin,considering,1.0
109,considering,considering,1.0
110,considere,considered,1.0
111,considered,considered,1.0
112,conf,confu,1.0
113,confu,confus,1.0
114,confus,confuse,1.0
115,confuse,confused,0.8847185
116,confuse,confuses,0.1152815
117,confused,confused,1.0
118,confuses,confuses,1.0
119,com,comp,0.99661069
120,com,comi,0.00338931
121,comp,compa,0.00027207
122,comp,compl,0.99972793
123,compa,compan,1.0
124,compan,company,1.0
125,company,companyi,1.0
126,companyi,companyin,1.0
127,companyin,companying,1.0
128,companying,companying,1.0
129,compl,comple,1.0
130,comple,complet,1.0
131,complet,complete,1.0
132,complete,completel,1.0
133,completel,completely,1.0
134,completely,completely,1.0
135,comi,comin,1.0
136,comin,coming,1.0
137,coming,comings,1.0
138,comings,comings,1.0
139,cou,coun,0.75851878
140,cou,cour,0.00046316
141,cou,coul,0.07472266
142,cou,coup,0.16629541
143,coun,count,1.0
144,count,counte,0.37427309
145,count,counti,0.18027448
146,count,countr,0.44545243
147,counte,counter,0.29614667
148,counte,counted,0.70385333
149,counter,counteri,0.20776495
150,counter,counters,0.79223505
151,counteri,counterin,1.0
152,counterin,countering,1.0
153,countering,countering,1.0
154,counters,counters,1.0
155,counted,counted,1.0
156,counti,countin,1.0
157,countin,counting,1.0
158,counting,counting,1.0
159,countr,country,1.0
160,country,country,1.0
161,cour,cours,1.0
162,cours,coursi,1.0
163,coursi,coursin,1.0
164,coursin,coursing,1.0
165,coursing,coursing,1.0
166,coul,could,1.0
167,could,couldn,1.0
168,couldn,couldn-,0.47756789
169,couldn,couldn-,0.52243211
170,couldn-,couldn-t,1.0
171,couldn-t,couldn-t,1.0
172,couldn-,couldn-t,1.0
173,couldn-t,couldn-t,1.0
174,coup,coupl,1.0
175,coupl,couple,1.0
176,couple,couples,1.0
177,couples,couples,1.0
178,coa,coat,1.0
179,coat,coati,1.0
180,coati,coatin,1.0
181,coatin,coating,1.0
182,coating,coatings,1.0
183,coatings,coatings,1.0
184,col,coll,0.18702853
185,col,colo,0.79851927
186,col,cold,0.0144522
187,coll,colle,1.0
188,colle,colleg,1.0
189,colleg,college,1.0
190,college,colleges,1.0
191,colleges,colleges,1.0
192,colo,color,1.0
193,color,colorf,0.23041692
194,color,colore,0.76958308
195,colorf,colorfu,1.0
196,colorfu,colorful,1.0
197,colorful,colorful,1.0
198,colore,colorer,7.49e-06
199,colore,colored,0.99999251
200,colorer,colorers,1.0
201,colorers,colorers,1.0
202,colored,colored,1.0
203,cold,colde,1.0
204,colde,coldes,1.0
205,coldes,coldest,1.0
206,coldest,coldest,1.0
207,coo,cool,1.0
208,cool,cooli,0.00043279
209,cool,coole,0.99956721
210,cooli,coolin,1.0
211,coolin,cooling,1.0
212,cooling,coolings,1.0
213,coolings,coolings,1.0
214,coole,cooler,0.52010724
215,coole,cooles,0.47989276
216,cooler,coolers,1.0
217,coolers,coolers,1.0
218,cooles,coolest,1.0
219,coolest,coolest,1.0
220,cor,corn,1.0
221,corn,corne,1.0
222,corne,corner,1.0
223,corner,cornere,0.0307606
224,corner,corners,0.9692394
225,cornere,cornered,1.0
226,cornered,cornered,1.0
227,corners,corners,1.0
228,cof,coff,1.0
229,coff,coffe,1.0
230,coffe,coffee,1.0
231,coffee,coffees,1.0
232,coffees,coffees,1.0
233,cop,copp,1.0
234,copp,coppi,1.0
235,coppi,coppin,1.0
236,coppin,copping,1.0
237,copping,copping,1.0
238,ci,cig,0.02238937
239,ci,cir,0.97761063
240,cig,ciga,1.0
241,ciga,cigar,1.0
242,cigar,cigare,1.0
243,cigare,cigaret,1.0
244,cigaret,cigarett,1.0
245,cigarett,cigarette,1.0
246,cigarette,cigarettes,1.0
247,cigarettes,cigarettes,1.0
248,cir,circ,1.0
249,circ,circl,1.0
250,circl,circli,0.00772237
251,circl,circle,0.99227763
252,circli,circlin,1.0
253,circlin,circling,1.0
254,circling,circling,1.0
255,circle,circles,0.99474492
256,circle,circled,0.00525508
257,circles,circles,1.0
258,circled,circled,1.0
259,ca,car,0.66359519
260,ca,cat,0.09327902
261,ca,cal,0.00034806
262,ca,cas,0.01100417
263,ca,cau,0.23177355
264,car,care,0.10665498
265,car,carr,0.89334502
266,care,caref,1.0
267,caref,carefu,1.0
268,carefu,careful,1.0
269,careful,carefull,1.0
270,carefull,carefully,1.0
271,carefully,carefully,1.0
272,carr,carry,0.42767193
273,carr,carri,0.57232807
274,carry,carryi,1.0
275,carryi,carryin,1.0
276,carryin,carrying,1.0
277,carrying,carrying,1.0
278,carri,carrie,1.0
279,carrie,carrier,0.15716531
280,carrie,carries,0.07415345
281,carrie,carried,0.76868124
282,carrier,carriers,1.0
283,carriers,carriers,1.0
284,carries,carries,1.0
285,carried,carried,1.0
286,cat,catc,0.99833178
287,cat,catt,0.00166822
288,catc,catch,1.0
289,catch,catchi,0.20718376
290,catch,catche,0.79281624
291,catchi,catchin,1.0
292,catchin,catching,1.0
293,catching,catchings,1.0
294,catchings,catchings,1.0
295,catche,catcher,0.10702561
296,catche,catches,0.89297439
297,catcher,catchers,1.0
298,catchers,catchers,1.0
299,catches,catches,1.0
300,catt,catti,1.0
301,catti,cattin,1.0
302,cattin,catting,1.0
303,catting,catting,1.0
304,cal,call,1.0
305,call,calli,1.0
306,calli,callin,1.0
307,callin,calling,1.0
308,calling,callings,1.0
309,callings,callings,1.0
310,cas,casi,1.0
311,casi,casin,1.0
312,casin,casing,1.0
313,casing,casings,1.0
314,casings,casings,1.0
315,cau,caus,1.0
316,caus,causi,0.99975947
317,caus,cause,0.00024053
318,causi,causin,1.0
319,causin,causing,1.0
320,causing,causing,1.0
321,cause,causer,1.0
322,causer,causers,1.0
323,causers,causers,1.0
324,ce,cen,0.85676509
325,ce,cer,0.06660924
326,ce,cei,0.07662567
327,cen,cent,1.0
328,cent,cente,1.0
329,cente,center,1.0
330,center,centeri,0.00942293
331,center,centere,0.10790778
332,center,centers,0.88266929
333,centeri,centerin,1.0
334,centerin,centering,1.0
335,centering,centering,1.0
336,centere,centered,1.0
337,centered,centered,1.0
338,centers,centers,1.0
339,cer,cert,1.0
340,cert,certa,1.0
341,certa,certai,1.0
342,certai,certain,1.0
343,certain,certainl,1.0
344,certainl,certainly,1.0
