,0
/wiki/Frequency,128095
/wiki/Dimetrodon,240059
/wiki/Vas_deferens,101136
/wiki/History_of_Egypt,212382
/wiki/Rhinoceros_beetle,74011
/wiki/Moss,188756
/wiki/Cat_communication,138434
/wiki/Laurasiatheria,114510
/wiki/Cnidaria,353143
/wiki/Stamen,101623
/wiki/Nape,45345
/wiki/Necrosis,121550
/wiki/Gene_flow,106785
/wiki/Serotonin,543664
/wiki/Phylogenetic_tree,132566
/wiki/Ecological_genetics,89172
/wiki/Glottolog,118017
/wiki/Predator,232653
/wiki/Tourism_in_Egypt,175641
/wiki/Adjudin,64457
/wiki/John_Guillim,41446
/wiki/Harmonics,99811
/wiki/Triassic,302375
/wiki/Ancient_Greek,225348
/wiki/Quechua_languages,269445
/wiki/Coptic_cross,66690
/wiki/Georgian_era,119762
/wiki/Cartilage,102998
/wiki/Africa,576782
/wiki/Jordan,590776
/wiki/Dalarna,99235
/wiki/Ordovician,260720
/wiki/August_Strindberg,254122
/wiki/ISESCO,48321
/wiki/Passer_domesticus,482749
/wiki/Gothic_language,255618
/wiki/Spotted_hyena,547681
/wiki/De_facto,93753
/wiki/Mandible,42265
/wiki/Hormone,162108
/wiki/International_Commission_on_Zoological_Nomenclature,48557
/wiki/Nominate_subspecies,73344
/wiki/Erzya_language,104600
/wiki/Bilabial_consonant,162951
/wiki/Ebers_Papyrus,68170
/wiki/John_Prine,102994
/wiki/Vowel,260585
/wiki/Evolutionary_linguistics,194491
/wiki/Malay_language,197561
/wiki/Thoracic_vertebrae,112999
/wiki/New_Kingdom_of_Egypt,146117
/wiki/Introduction_to_evolution,292209
/wiki/Committee_on_the_Status_of_Endangered_Wildlife_in_Canada,64680
/wiki/Old_Saxon,148968
/wiki/Growling,38483
/wiki/Uppsala_Cathedral,141453
/wiki/James_Joyce,276620
/wiki/Old_Egyptian_language,48870
/wiki/Lebanon,579900
/wiki/German_language,493203
/wiki/Ingvaeonic_languages,85198
/wiki/Fat,99004
/wiki/Piezoelectricity,203331
/wiki/Bearded_seal,204737
/wiki/Coptic_identity,79975
/wiki/United_States_of_America,1144446
/wiki/Arabs,566282
/wiki/Herodotus,274307
/wiki/Ben_Jonson,228245
/wiki/Hindi,226685
/wiki/Tiger,589590
/wiki/Early_Modern_English,109365
/wiki/Eastern_Europe,247584
/wiki/Rohingya_language,137517
/wiki/Central_Europe,566731
/wiki/Alan_Gardiner,53545
/wiki/Diphthong,222311
/wiki/Qatar,544725
/wiki/Republic_of_Ireland,753155
/wiki/Somaliland,399579
/wiki/Uganda,485444
/wiki/Purr,95178
/wiki/Gorilla,227012
/wiki/Savanna,129093
/wiki/Actinopterygii,178210
