,0
/wiki/UNESCO,96334
/wiki/Critically_Endangered,2650
/wiki/Sampling_interval,37
/wiki/European_rabbit,11184
/wiki/Thomas_Cranmer,24363
/wiki/Pupillary_light_reflex,19261
/wiki/Oxyaenidae,852
/wiki/Sixth_Dynasty_of_Egypt,1989
/wiki/Kitten,27872
/wiki/Ascidiacea,7000
/wiki/Tacitus,24065
/wiki/Royal_coat_of_arms_of_the_United_Kingdom,19425
/wiki/Triassic,35120
/wiki/Brazil,354849
/wiki/Adjective,84565
/wiki/Glires,1941
/wiki/Close_vowel,3214
/wiki/Sound_mimesis_in_various_cultures,412
/wiki/Stoating,679
/wiki/Transcaucasus,967
/wiki/Barn_owl,30522
/wiki/Clade,25923
/wiki/Ethnic_German,2432
/wiki/Library_cat,396
/wiki/Lect,437
/wiki/Royal_Society_of_Sciences_in_Uppsala,350
/wiki/Arabizi,49
/wiki/Language_family,50739
/wiki/Georgian_language,27652
/wiki/Conditioned_reflex,308
/wiki/Pop_art,58296
/wiki/Slovakia,126490
/wiki/Corruption_in_Egypt,692
/wiki/Mandaeism,15081
/wiki/Hamburg,98036
/wiki/Kama_River,2215
/wiki/Abyssinian_cat,17223
/wiki/Open_surgery,609
/wiki/Public_holidays_in_Egypt,3769
/wiki/Typographic_ligature,14297
/wiki/Premolar,6022
/wiki/GCCF,88
/wiki/Farm_cat,3390
/wiki/Bolometer,6534
/wiki/Weero,108
/wiki/Farrier,10686
/wiki/Old_Saxony,5062
/wiki/Low_German,17964
/wiki/Fodder,15428
/wiki/Stimulate,378
/wiki/Genetic_drift,23731
/wiki/Reining,3307
/wiki/Kassala,2553
/wiki/Evolutionary_ideas_of_the_Renaissance_and_Enlightenment,916
/wiki/Eastern_grey_squirrel,584
/wiki/Gag_reflex,2698
/wiki/British_India,26031
/wiki/Germania_Slavica,453
/wiki/Brooks_Koepka,8677
/wiki/Thomas_Kyd,3863
/wiki/Rishi_Sunak,3901
/wiki/Slovenia,134817
/wiki/Great_Bible,4501
/wiki/Balkan_green_lizard,334
/wiki/Status_of_the_Irish_language,3447
/wiki/Meteorite_falls,565
/wiki/Cats,20254
/wiki/Finnic_languages,6771
/wiki/Sarcophagus,21077
/wiki/Diphthong,33681
/wiki/Name_of_Hungary,1844
/wiki/Late_Period_of_ancient_Egypt,4666
/wiki/Prishibinskoye,7
/wiki/Nineteenth_Dynasty_of_Egypt,5067
/wiki/Boa_constrictor,35480
/wiki/Greenhouses,340
/wiki/Restoration_literature,7484
/wiki/Germanic_languages,47136
/wiki/Scent_rubbing,9
/wiki/British_Museum,64897
/wiki/Eocene,18076
/wiki/Svalbard,79198
/wiki/Hejazi_Arabic,3438
/wiki/Gothic_language,15367
/wiki/Ambulacraria,771
/wiki/Quedlinburg,4218
/wiki/North_Brabant,8533
/wiki/Giza_pyramid_complex,18862
/wiki/Belgian_Blue,20332
/wiki/Moss,40886
/wiki/He_of_the_Sedge_and_Bee,-1
/wiki/Late_Middle_English,581
/wiki/Fossil,55875
